EmployeeID,EmployeeProfile,EmployeeEmail,EmployeeName,EmployeeRole,EmployeeStatus,EmployeeSalary,EmployeeJobType,EmployeeResident,EmployeeAge,Bonuses
1,Profile 1,johndoe@example.com,John Doe,Software Engineer,Active,4000,Full-time,Citizen,30,500
2,Profile 2,janesmith@example.com,Jane Smith,Data Analyst,Active,6000,Full-time,PR,45,300
3,Profile 3,marklee@example.com,Mark Lee,Project Manager,Active,8000,Full-time,Citizen,50,700
4,Profile 4,susanlim@example.com,Susan Lim,HR Manager,Active,3000,Part-time,PR,65,200
5,Profile 5,kevinchoo@example.com,Kevin Choo,Marketing Executive,Inactive,3500,Full-time,Citizen,40,0
6,Profile 6,user6@mail.com,Employee 6,Data Analyst,Inactive,5108,Contract,Citizen,51,479
7,Profile 7,user7@company.org,Employee 7,Product Manager,Active,5013,Part-time,PR,58,648
8,Profile 8,user8@corporate.net,Employee 8,Software Engineer,Active,5125,Full-time,PR,54,410
9,Profile 9,user9@example.com,Employee 9,Marketing Executive,Inactive,7705,Full-time,PR,31,186
10,Profile 10,user10@company.org,Employee 10,Software Engineer,Active,8565,Part-time,PR,50,30
11,Profile 11,user11@example.com,Employee 11,Business Analyst,Inactive,3171,Contract,PR,33,358
12,Profile 12,user12@company.org,Employee 12,Marketing Executive,Active,9828,Part-time,Foreigner,21,719
13,Profile 13,user13@example.com,Employee 13,HR Manager,Inactive,7023,Part-time,Citizen,54,670
14,Profile 14,user14@example.com,Employee 14,UX Designer,Active,5705,Part-time,PR,49,987
15,Profile 15,user15@corporate.net,Employee 15,Product Manager,Active,6697,Contract,Foreigner,48,207
16,Profile 16,user16@company.org,Employee 16,QA Engineer,Active,5228,Full-time,Citizen,22,890
17,Profile 17,user17@mail.com,Employee 17,HR Manager,Inactive,9028,Contract,PR,22,689
18,Profile 18,user18@example.com,Employee 18,Data Analyst,Active,3504,Part-time,Citizen,36,630
19,Profile 19,user19@corporate.net,Employee 19,HR Manager,Inactive,5251,Full-time,Citizen,33,787
20,Profile 20,user20@mail.com,Employee 20,Software Engineer,Active,4504,Part-time,Citizen,27,232
21,Profile 21,user21@example.com,Employee 21,Software Engineer,Active,4205,Full-time,PR,27,77
22,Profile 22,user22@corporate.net,Employee 22,UX Designer,Inactive,5085,Part-time,PR,43,284
23,Profile 23,user23@corporate.net,Employee 23,Business Analyst,Inactive,7004,Contract,Citizen,30,124
24,Profile 24,user24@corporate.net,Employee 24,Project Manager,Inactive,4168,Contract,PR,54,662
25,Profile 25,user25@mail.com,Employee 25,Data Analyst,Active,7938,Part-time,Citizen,31,824
26,Profile 26,user26@corporate.net,Employee 26,Software Engineer,Active,6535,Contract,Citizen,32,501
27,Profile 27,user27@example.com,Employee 27,Business Analyst,Active,9560,Contract,PR,31,393
28,Profile 28,user28@example.com,Employee 28,UX Designer,Inactive,8807,Part-time,Foreigner,48,499
29,Profile 29,user29@corporate.net,Employee 29,HR Manager,Active,9820,Part-time,Foreigner,55,237
30,Profile 30,user30@example.com,Employee 30,Business Analyst,Inactive,4556,Part-time,Citizen,54,267
31,Profile 31,user31@company.org,Employee 31,Marketing Executive,Active,4032,Full-time,Citizen,55,536
32,Profile 32,user32@company.org,Employee 32,UX Designer,Active,7587,Part-time,PR,22,550
33,Profile 33,user33@mail.com,Employee 33,Project Manager,Inactive,4294,Contract,PR,26,370
34,Profile 34,user34@example.com,Employee 34,QA Engineer,Active,6553,Contract,Citizen,58,826
35,Profile 35,user35@example.com,Employee 35,Marketing Executive,Active,3256,Part-time,Citizen,58,894
36,Profile 36,user36@example.com,Employee 36,Data Analyst,Active,5723,Full-time,Foreigner,44,174
37,Profile 37,user37@mail.com,Employee 37,Project Manager,Active,4697,Contract,Citizen,28,242
38,Profile 38,user38@corporate.net,Employee 38,HR Manager,Inactive,6731,Part-time,PR,55,771
39,Profile 39,user39@corporate.net,Employee 39,Business Analyst,Inactive,6454,Contract,Citizen,55,285
40,Profile 40,user40@corporate.net,Employee 40,Data Analyst,Inactive,6423,Contract,Foreigner,37,62
41,Profile 41,user41@example.com,Employee 41,Product Manager,Inactive,5696,Contract,Foreigner,28,260
42,Profile 42,user42@mail.com,Employee 42,QA Engineer,Inactive,5650,Contract,Foreigner,39,146
43,Profile 43,user43@mail.com,Employee 43,QA Engineer,Active,8484,Part-time,Citizen,22,952
44,Profile 44,user44@mail.com,Employee 44,HR Manager,Active,4301,Contract,Foreigner,59,160
45,Profile 45,user45@example.com,Employee 45,Marketing Executive,Inactive,6711,Contract,Foreigner,59,767
46,Profile 46,user46@corporate.net,Employee 46,UX Designer,Inactive,9840,Full-time,Foreigner,29,827
47,Profile 47,user47@corporate.net,Employee 47,DevOps Engineer,Active,6777,Full-time,PR,50,377
48,Profile 48,user48@example.com,Employee 48,Software Engineer,Active,3723,Part-time,Citizen,36,889
49,Profile 49,user49@example.com,Employee 49,Product Manager,Inactive,9410,Part-time,PR,27,58
50,Profile 50,user50@example.com,Employee 50,Business Analyst,Active,5982,Contract,PR,29,115
51,Profile 51,user51@example.com,Employee 51,Software Engineer,Active,6597,Full-time,Citizen,26,137
52,Profile 52,user52@mail.com,Employee 52,DevOps Engineer,Active,7285,Part-time,Citizen,27,920
53,Profile 53,user53@corporate.net,Employee 53,Marketing Executive,Active,6172,Contract,Citizen,27,519
54,Profile 54,user54@corporate.net,Employee 54,Data Analyst,Inactive,6727,Part-time,PR,20,215
55,Profile 55,user55@example.com,Employee 55,Marketing Executive,Inactive,6354,Full-time,Foreigner,25,837
56,Profile 56,user56@company.org,Employee 56,Product Manager,Inactive,5268,Contract,PR,53,484
57,Profile 57,user57@mail.com,Employee 57,QA Engineer,Active,4038,Part-time,PR,52,844
58,Profile 58,user58@example.com,Employee 58,Software Engineer,Inactive,8530,Part-time,PR,43,278
59,Profile 59,user59@company.org,Employee 59,HR Manager,Inactive,6664,Contract,Citizen,42,223
60,Profile 60,user60@corporate.net,Employee 60,UX Designer,Active,5763,Full-time,Citizen,27,963
61,Profile 61,user61@corporate.net,Employee 61,Product Manager,Inactive,3071,Part-time,Foreigner,59,961
62,Profile 62,user62@example.com,Employee 62,UX Designer,Active,7669,Full-time,Foreigner,46,991
63,Profile 63,user63@example.com,Employee 63,Project Manager,Active,4251,Full-time,Citizen,29,531
64,Profile 64,user64@company.org,Employee 64,Business Analyst,Active,3873,Part-time,Foreigner,57,192
65,Profile 65,user65@mail.com,Employee 65,Product Manager,Active,4162,Part-time,Citizen,37,866
66,Profile 66,user66@example.com,Employee 66,Software Engineer,Inactive,6742,Contract,PR,21,203
67,Profile 67,user67@mail.com,Employee 67,HR Manager,Inactive,7125,Full-time,PR,54,307
68,Profile 68,user68@example.com,Employee 68,Software Engineer,Active,5898,Part-time,Citizen,22,523
69,Profile 69,user69@example.com,Employee 69,DevOps Engineer,Inactive,3697,Contract,Foreigner,56,980
70,Profile 70,user70@company.org,Employee 70,Product Manager,Inactive,7561,Part-time,Foreigner,51,154
71,Profile 71,user71@example.com,Employee 71,Project Manager,Active,9814,Part-time,PR,36,322
72,Profile 72,user72@example.com,Employee 72,UX Designer,Inactive,4087,Contract,PR,32,827
73,Profile 73,user73@mail.com,Employee 73,UX Designer,Active,6244,Contract,PR,23,551
74,Profile 74,user74@corporate.net,Employee 74,Marketing Executive,Inactive,8884,Contract,Foreigner,37,809
75,Profile 75,user75@corporate.net,Employee 75,Product Manager,Active,5896,Part-time,Citizen,40,418
76,Profile 76,user76@company.org,Employee 76,Project Manager,Active,7076,Full-time,Foreigner,54,757
77,Profile 77,user77@corporate.net,Employee 77,Project Manager,Inactive,7305,Contract,Citizen,40,317
78,Profile 78,user78@company.org,Employee 78,Marketing Executive,Inactive,4212,Full-time,Foreigner,61,184
79,Profile 79,user79@corporate.net,Employee 79,Software Engineer,Inactive,7898,Contract,PR,31,407
80,Profile 80,user80@mail.com,Employee 80,Software Engineer,Inactive,9251,Contract,Citizen,31,55
81,Profile 81,user81@corporate.net,Employee 81,HR Manager,Active,8444,Part-time,PR,29,816
82,Profile 82,user82@mail.com,Employee 82,Software Engineer,Active,9643,Part-time,Citizen,52,293
83,Profile 83,user83@company.org,Employee 83,UX Designer,Active,8988,Part-time,PR,42,494
84,Profile 84,user84@mail.com,Employee 84,Product Manager,Inactive,6164,Full-time,Citizen,49,977
85,Profile 85,user85@company.org,Employee 85,QA Engineer,Active,6238,Contract,PR,34,828
86,Profile 86,user86@mail.com,Employee 86,Project Manager,Inactive,7949,Full-time,Foreigner,45,495
